variable_name;country;voivodship;entrants_status;sex;information_type_with_measure_unit;year;value;
Number of persons who took/passed a matriculation exam;Poland;Lubelskie;took;men;value [person];2010;10442;
Number of persons who took/passed a matriculation exam;Poland;Lubelskie;took;women;value [person];2010;13185;
Number of persons who took/passed a matriculation exam;Poland;Lubelskie;took;men;value [person];2011;10006;
Number of persons who took/passed a matriculation exam;Poland;Lubelskie;took;women;value [person];2011;12715;
Number of persons who took/passed a matriculation exam;Poland;Lubelskie;took;men;value [person];2012;9670;
Number of persons who took/passed a matriculation exam;Poland;Lubelskie;took;women;value [person];2012;11861;
Number of persons who took/passed a matriculation exam;Poland;Lubelskie;took;men;value [person];2013;9117;
Number of persons who took/passed a matriculation exam;Poland;Lubelskie;took;women;value [person];2013;11425;
Number of persons who took/passed a matriculation exam;Poland;Lubelskie;took;men;value [person];2014;8448;
Number of persons who took/passed a matriculation exam;Poland;Lubelskie;took;women;value [person];2014;10361;
Number of persons who took/passed a matriculation exam;Poland;Lubelskie;took;men;value [person];2015;7807;
Number of persons who took/passed a matriculation exam;Poland;Lubelskie;took;women;value [person];2015;9656;
Number of persons who took/passed a matriculation exam;Poland;Lubelskie;took;men;value [person];2016;7336;
Number of persons who took/passed a matriculation exam;Poland;Lubelskie;took;women;value [person];2016;9096;
Number of persons who took/passed a matriculation exam;Poland;Lubelskie;took;men;value [person];2017;7512;
Number of persons who took/passed a matriculation exam;Poland;Lubelskie;took;women;value [person];2017;9234;
Number of persons who took/passed a matriculation exam;Poland;Lubelskie;took;men;value [person];2018;2543;
Number of persons who took/passed a matriculation exam;Poland;Lubelskie;took;women;value [person];2018;3160;
Number of persons who took/passed a matriculation exam;Poland;Lubelskie;took;men;value [person];2019;7067;
Number of persons who took/passed a matriculation exam;Poland;Lubelskie;took;women;value [person];2019;8276;
Number of persons who took/passed a matriculation exam;Poland;Lubelskie;took;men;value [person];2020;7453;
Number of persons who took/passed a matriculation exam;Poland;Lubelskie;took;women;value [person];2020;8457;
Number of persons who took/passed a matriculation exam;Poland;Lubelskie;took;men;value [person];2021;7479;
Number of persons who took/passed a matriculation exam;Poland;Lubelskie;took;women;value [person];2021;8567;
Number of persons who took/passed a matriculation exam;Poland;Lubelskie;took;men;value [person];2022;7244;
Number of persons who took/passed a matriculation exam;Poland;Lubelskie;took;women;value [person];2022;8568;
Number of persons who took/passed a matriculation exam;Poland;Lubelskie;took;men;value [person];2023;6698;
Number of persons who took/passed a matriculation exam;Poland;Lubelskie;took;women;value [person];2023;7934;
Number of persons who took/passed a matriculation exam;Poland;Lubelskie;passed;men;value [person];2010;8124;
Number of persons who took/passed a matriculation exam;Poland;Lubelskie;passed;women;value [person];2010;10738;
Number of persons who took/passed a matriculation exam;Poland;Lubelskie;passed;men;value [person];2011;7246;
Number of persons who took/passed a matriculation exam;Poland;Lubelskie;passed;women;value [person];2011;9574;
Number of persons who took/passed a matriculation exam;Poland;Lubelskie;passed;men;value [person];2012;7594;
Number of persons who took/passed a matriculation exam;Poland;Lubelskie;passed;women;value [person];2012;9627;
Number of persons who took/passed a matriculation exam;Poland;Lubelskie;passed;men;value [person];2013;7186;
Number of persons who took/passed a matriculation exam;Poland;Lubelskie;passed;women;value [person];2013;9300;
Number of persons who took/passed a matriculation exam;Poland;Lubelskie;passed;men;value [person];2014;5752;
Number of persons who took/passed a matriculation exam;Poland;Lubelskie;passed;women;value [person];2014;7458;
Number of persons who took/passed a matriculation exam;Poland;Lubelskie;passed;men;value [person];2015;5617;
Number of persons who took/passed a matriculation exam;Poland;Lubelskie;passed;women;value [person];2015;7102;
Number of persons who took/passed a matriculation exam;Poland;Lubelskie;passed;men;value [person];2016;5761;
Number of persons who took/passed a matriculation exam;Poland;Lubelskie;passed;women;value [person];2016;7287;
Number of persons who took/passed a matriculation exam;Poland;Lubelskie;passed;men;value [person];2017;5783;
Number of persons who took/passed a matriculation exam;Poland;Lubelskie;passed;women;value [person];2017;7247;
Number of persons who took/passed a matriculation exam;Poland;Lubelskie;passed;men;value [person];2018;2043;
Number of persons who took/passed a matriculation exam;Poland;Lubelskie;passed;women;value [person];2018;2502;
Number of persons who took/passed a matriculation exam;Poland;Lubelskie;passed;men;value [person];2019;5530;
Number of persons who took/passed a matriculation exam;Poland;Lubelskie;passed;women;value [person];2019;6758;
Number of persons who took/passed a matriculation exam;Poland;Lubelskie;passed;men;value [person];2020;5094;
